Metodo,Base,Estatistica,Variavel,Valor
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v8,1.1943529026692035
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v9,1.098632089224319
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v10,1.088849765402517
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v11,1.0207130277115586
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v12,0.9992013895301448
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v13,0.9952742301251534
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v14,0.9585956112570638
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v15,0.915316011610439
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v16,0.8762528873883704
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v17,0.8493370636743892
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v18,0.8381762095288414
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v19,0.8140405007685786
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v20,0.7709250248871168
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v21,0.734524014371313
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v22,0.7257015604409116
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v23,0.6244602955949903
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v24,0.6056470678271602
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v25,0.5212780705409424
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v26,0.4822270132610573
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v27,0.4036324949650307
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,v28,0.3300832641602509
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,amount,250.12010924018858
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,radius1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,texture1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,perimeter1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,area1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,smoothness1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,compactness1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,concavity1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,concave_points1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,symmetry1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,fractal_dimension1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,radius2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,texture2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,perimeter2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,area2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,smoothness2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,compactness2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,concavity2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,concave_points2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,symmetry2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,fractal_dimension2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,radius3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,texture3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,perimeter3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,area3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,smoothness3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,compactness3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,concavity3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,concave_points3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,symmetry3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,fractal_dimension3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,pregnancies,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,glucose,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,bloodpressure,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,skinthickness,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,insulin,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,bmi,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,diabetespedigreefunction,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,age,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute01,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute02,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute03,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute04,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute05,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute06,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute07,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute08,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute09,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute10,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute11,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute12,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute13,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute14,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute15,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute16,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute17,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute18,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute19,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute20,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute21,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute22,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute23,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute24,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute25,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute26,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute27,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute28,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute29,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute30,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute31,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute32,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute33,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,attribute34,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,aa,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,ao,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,dcl,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,iy,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,sh,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,0,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,1,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,2,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,3,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,4,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,5,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,6,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,7,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,8,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,9,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,10,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,11,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,12,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,13,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,14,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,15,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,16,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,17,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,18,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,19,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,20,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,21,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,22,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,23,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,24,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,25,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,26,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,27,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,28,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,29,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,30,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,31,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,32,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,33,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,34,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,35,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,36,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,37,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,38,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,39,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,40,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,41,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,42,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,43,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,44,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,45,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,46,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,48,NA
RAW,01-Credit Card Fraud Detection,Desvio_Padrao,49,NA
RAW,01-Credit Card Fraud Detection,Minimo,time,0
RAW,01-Credit Card Fraud Detection,Minimo,v1,-56.407509631329
RAW,01-Credit Card Fraud Detection,Minimo,v2,-72.7157275629303
RAW,01-Credit Card Fraud Detection,Minimo,v3,-48.3255893623954
RAW,01-Credit Card Fraud Detection,Minimo,v4,-5.68317119816995
RAW,01-Credit Card Fraud Detection,Minimo,v5,-113.743306711146
RAW,01-Credit Card Fraud Detection,Minimo,v6,-26.1605059358433
RAW,01-Credit Card Fraud Detection,Minimo,v7,-43.5572415712451
RAW,01-Credit Card Fraud Detection,Minimo,v8,-73.2167184552674
RAW,01-Credit Card Fraud Detection,Minimo,v9,-13.4340663182301
RAW,01-Credit Card Fraud Detection,Minimo,v10,-24.5882624372475
RAW,01-Credit Card Fraud Detection,Minimo,v11,-4.79747346479757
RAW,01-Credit Card Fraud Detection,Minimo,v12,-18.6837146333443
RAW,01-Credit Card Fraud Detection,Minimo,v13,-5.79188120632084
RAW,01-Credit Card Fraud Detection,Minimo,v14,-19.2143254902614
RAW,01-Credit Card Fraud Detection,Minimo,v15,-4.49894467676621
RAW,01-Credit Card Fraud Detection,Minimo,v16,-14.1298545174931
RAW,01-Credit Card Fraud Detection,Minimo,v17,-25.1627993693248
RAW,01-Credit Card Fraud Detection,Minimo,v18,-9.49874592104677
RAW,01-Credit Card Fraud Detection,Minimo,v19,-7.21352743017759
RAW,01-Credit Card Fraud Detection,Minimo,v20,-54.497720494566
RAW,01-Credit Card Fraud Detection,Minimo,v21,-34.8303821448146
RAW,01-Credit Card Fraud Detection,Minimo,v22,-10.933143697655
RAW,01-Credit Card Fraud Detection,Minimo,v23,-44.8077352037913
RAW,01-Credit Card Fraud Detection,Minimo,v24,-2.83662691870341
RAW,01-Credit Card Fraud Detection,Minimo,v25,-10.2953970749851
RAW,01-Credit Card Fraud Detection,Minimo,v26,-2.60455055280817
RAW,01-Credit Card Fraud Detection,Minimo,v27,-22.5656793207827
RAW,01-Credit Card Fraud Detection,Minimo,v28,-15.4300839055349
RAW,01-Credit Card Fraud Detection,Minimo,amount,0
RAW,01-Credit Card Fraud Detection,Minimo,radius1,NA
RAW,01-Credit Card Fraud Detection,Minimo,texture1,NA
RAW,01-Credit Card Fraud Detection,Minimo,perimeter1,NA
RAW,01-Credit Card Fraud Detection,Minimo,area1,NA
RAW,01-Credit Card Fraud Detection,Minimo,smoothness1,NA
RAW,01-Credit Card Fraud Detection,Minimo,compactness1,NA
RAW,01-Credit Card Fraud Detection,Minimo,concavity1,NA
RAW,01-Credit Card Fraud Detection,Minimo,concave_points1,NA
RAW,01-Credit Card Fraud Detection,Minimo,symmetry1,NA
RAW,01-Credit Card Fraud Detection,Minimo,fractal_dimension1,NA
RAW,01-Credit Card Fraud Detection,Minimo,radius2,NA
RAW,01-Credit Card Fraud Detection,Minimo,texture2,NA
RAW,01-Credit Card Fraud Detection,Minimo,perimeter2,NA
RAW,01-Credit Card Fraud Detection,Minimo,area2,NA
RAW,01-Credit Card Fraud Detection,Minimo,smoothness2,NA
RAW,01-Credit Card Fraud Detection,Minimo,compactness2,NA
RAW,01-Credit Card Fraud Detection,Minimo,concavity2,NA
RAW,01-Credit Card Fraud Detection,Minimo,concave_points2,NA
RAW,01-Credit Card Fraud Detection,Minimo,symmetry2,NA
RAW,01-Credit Card Fraud Detection,Minimo,fractal_dimension2,NA
RAW,01-Credit Card Fraud Detection,Minimo,radius3,NA
RAW,01-Credit Card Fraud Detection,Minimo,texture3,NA
RAW,01-Credit Card Fraud Detection,Minimo,perimeter3,NA
RAW,01-Credit Card Fraud Detection,Minimo,area3,NA
RAW,01-Credit Card Fraud Detection,Minimo,smoothness3,NA
RAW,01-Credit Card Fraud Detection,Minimo,compactness3,NA
RAW,01-Credit Card Fraud Detection,Minimo,concavity3,NA
RAW,01-Credit Card Fraud Detection,Minimo,concave_points3,NA
RAW,01-Credit Card Fraud Detection,Minimo,symmetry3,NA
RAW,01-Credit Card Fraud Detection,Minimo,fractal_dimension3,NA
RAW,01-Credit Card Fraud Detection,Minimo,pregnancies,NA
RAW,01-Credit Card Fraud Detection,Minimo,glucose,NA
RAW,01-Credit Card Fraud Detection,Minimo,bloodpressure,NA
RAW,01-Credit Card Fraud Detection,Minimo,skinthickness,NA
RAW,01-Credit Card Fraud Detection,Minimo,insulin,NA
RAW,01-Credit Card Fraud Detection,Minimo,bmi,NA
RAW,01-Credit Card Fraud Detection,Minimo,diabetespedigreefunction,NA
RAW,01-Credit Card Fraud Detection,Minimo,age,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute01,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute02,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute03,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute04,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute05,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute06,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute07,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute08,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute09,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute10,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute11,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute12,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute13,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute14,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute15,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute16,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute17,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute18,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute19,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute20,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute21,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute22,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute23,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute24,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute25,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute26,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute27,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute28,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute29,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute30,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute31,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute32,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute33,NA
RAW,01-Credit Card Fraud Detection,Minimo,attribute34,NA
RAW,01-Credit Card Fraud Detection,Minimo,aa,NA
RAW,01-Credit Card Fraud Detection,Minimo,ao,NA
RAW,01-Credit Card Fraud Detection,Minimo,dcl,NA
